smiles,pka
C1=CN=CNC1,10.21
CCCCCC(C)N,10.43
Cc1ncccc1O,6.12
CSc1nccn1C,5.07
CCCCCNCC#N,5.99
CCCCC(N)CS,10.57
N=C(N)SCCF,10.56
NCCc1cscn1,9.51
NC1=NCCCO1,8.28
NNCCC(=O)O,5.72
CN1CCSC1=N,10.3
Nc1ccncc1N,9.25
CNc1ccccc1,4.68
CC1CCN=C1N,11.73
Cc1ccccc1N,4.48
Nc1ccccc1F,2.98
NCCC(=O)NO,9.26
NCCc1cccs1,9.59
NNc1ccccc1,5.14
N=C(N)NN=O,8.6
CN(C)CCCCl,8.68
CCCSC(=N)N,10.59
N=C(N)SCCN,10.59
OCCn1ccnc1,6.49
CC(C)(C)NO,5.2
CSCCC(N)CS,10.55
NC1CCCCCC1,10.45
NCc1ccncc1,9.06
CC(=O)SCCN,8.85
CCSCCNCCCN,10.14
C=C1CC1CCN,10.19
CCCSCCNCCN,9.78
NNC1=NCCN1,11.2
NCCCC(N)=O,9.99
NC(CS)CCSO,10.37
CC(C)(C)ON,4.62
NOC1CCCCO1,4.23
NOc1ccccc1,3.34
OCc1ccncc1,5.0
OCc1cccnc1,4.73
OCCN(CO)CO,6.07
NC1CCCCC1N,9.99
NNc1nncn1N,3.68
CC(C)N(C)C,9.98
NCCNC(=S)S,9.2
O=C(O)CCNO,4.88
NCc1cccnc1,8.95
CCNCCCCNCC,10.92
CCCNSSNCCC,5.46
OCc1ccccn1,4.7
c1c[nH]nn1,0.87
OCCn1cccn1,2.1
O=C1CN=CN1,5.12
CN1CCCCCC1,10.18
NCCOCCOCCO,9.45
N#CNC(=N)N,5.15
CCCCCCCCNC,10.54
CN(CCO)CCO,8.7
NCCOCCOCCN,9.75
C1CCCNCCC1,10.7
C=C(C)CNCC,9.95
ON=C1CCCC1,2.96
NC1CCSC1=O,7.83
COc1ccccn1,2.96
CCc1scnc1C,3.28
Cn1sccc1=N,9.31
CCNC(=N)CS,12.63
Cn1ccsc1=N,10.86
Cc1cccnc1C,6.28
N=C1SCCN1N,8.58
SCC1=NCCN1,10.13
CN1CCOC1=N,8.69
CC(CN)CCCN,10.52
CCN1CCOCC1,7.78
CNC1=NCCCC1,11.97
CC1CCCN=C1N,11.78
CC(N)C(=O)O,9.48
O=Cc1cccnc1,3.88
