smiles,pka
N#CCC(=O)NN,9.06
CC/C(C)=N/O,11.66
CC(S)C(=O)O,4.35
CNC(=O)CC#N,9.19
NCCCNCCCCCS,10.03
O=C(CCl)NCO,10.41
Sc1nnc(S)s1,5.77
C=CCCC(=O)O,4.89
SCCc1cnccn1,10.15
CCOC(=O)CCS,10.11
Sc1ncc[nH]1,7.8
CCCNC(=O)NO,10.1
OCCCNC(=S)S,2.04
Sc1ccccc1Cl,5.39
Nc1cccc(O)c1,9.82
NCc1cc(O)no1,7
Oc1ccc(O)cc1,9.68
NC(=O)C(=O)O,2.48
Cc1ccc(O)cc1,10.36
Nc1nncc(O)n1,11.44
Oc1cccc(O)c1,9.26
CN(C)CC(O)CO,14
O=C(O)C1CCN1,1.76
CCNP(=O)(O)O,2.95
Cc1cccc(O)c1,10.13
O=C(O)CCOCCI,3.67
OC(CS)C(O)CS,9.62
CCC(N)C(=O)O,2.62
NC(CS)C(=O)O,2.35
Nc1nccc(O)n1,12.28
Nc1cc(O)ncn1,12.14
CCCC(=O)NC#N,4.48
Oc1ccc(I)cc1,9.1
Oc1ccc(F)cc1,9.24
Oc1cccc(F)c1,8.57
NC1CNC(=O)O1,12.58
CSc1ncc[nH]1,11.66
CCc1ncc[nH]1,13.8
Clc1ncc[nH]1,10.56
Brc1ncc[nH]1,11.08
Nc1c[nH]nc1O,5.48
Cc1sc(N)nc1O,6.7
O=C(O)CCCCCS,4.91
O=C(O)C1CNC1,3.09
NCCCCCC(=O)O,4.73
CC1NCC(O)C1O,13.38
NCc1c[nH]cn1,12.91
ON=C1CCCCCC1,12.11
CS(=O)(=O)NO,9.29
C=C(C)/C=N/O,11.71
CCCCCCC(=O)O,5.15
O=Cc1ccccc1O,8.4
Nc1ccc(O)cc1,10.4
Oc1cccc(I)c1,8.9
Cc1ccc(S)cc1,6.78
Fc1ccc(S)cc1,5.46
O=c1cccccc1O,11.26
CSCP(O)(O)=S,3.21
CCCCNC(=O)NO,10.1
NCc1cc(O)ns1,2.43
Cc1ccc(O)cn1,9.63
CCCCCC/C=N/O,11.41
CC(=O)/C=N/O,8.2
CC(C)C(=O)NN,13.35
OCC(S)C(S)CO,9.4
N#Cc1ccccc1O,8.09
NS(=O)(=O)NO,9.33
NCCCc1nonc1O,2.26
CCOc1ccccc1O,9.96
CCCc1ccccc1O,10.3
CNCP(C)(=O)O,-0.26
Cc1ccnc(S)n1,9.13
CC(C)CC(=O)O,5.01
CCc1nnc(S)s1,6.69
CCC(O)C(=O)O,3.99
NCC(N)C(=O)O,2.1
CC(C)CC(N)CS,9.52
CCC(C)C(=O)O,4.97
CC(=O)C(=O)O,2.93
CC(O)CC(=O)O,4.41
NCc1nnc(O)o1,1.77
NCc1nnc(S)o1,6.07
O=C(O)C1C=C1,4.15
C/C=C/C(=O)O,4.71
C=C(C)C(=O)O,4.66
NCP(=O)(O)CO,-0.55
SCc1ccccc1Cl,9.92
CCO[PH](=O)O,2.19
CN(C)CC(=O)O,1.88
Brc1c[nH]cn1,11.93
NCCP(=O)(O)O,1.53
OCc1c[nH]cn1,12.73
CCSCCCC(=O)O,4.88
CNc1nnc(S)s1,6.72
C#CCCCC(=O)O,4.54
C=CCn1cnnc1S,7.67
Oc1nccc(S)n1,6.82
Oc1cc(O)ncn1,11.55
NCS(=O)(=O)O,-3.66
NCCSCCC(=O)O,4.45
CC(Cl)C(=O)O,3.42
CCC(S)(CC)CO,9.71
NCc1nnn[nH]1,3.1
NCCCOCC(=O)O,3.89
O=c1ccs[nH]1,8.62
O=C(NO)NCCCl,10.1
C#CCNCC(=O)O,2.54
CC(N)CC(=O)O,4.22
CCC(=S)N(C)O,10.1
NCCCSCC(=O)O,4.29
O=C(O)CCCCCO,4.71
CC(O)(C#N)CF,11.39
N#Cc1cccnc1O,9.94
NCc1cnn(O)c1,9
CCNC(=O)CC#N,9.19
CC(CS)C(=O)O,4.66
CC(Br)C(=O)O,2.86
NC(=S)C(N)=S,11.44
CCOC(=O)CC#N,8.98
CCN(O)C(N)=O,9.86
OCc1cn[nH]c1,13.72
CN(C)C(=N)CS,8.59
NCP(=O)(O)CN,-1.93
CC(CN)C(=O)O,4.17
NCC(F)C(=O)O,2.97
OCCCCNC(=S)S,2.04
O=C(O)C1CCC1,4.59
O=C(O)CC(=O)O,2.43
O=C(O)C(Cl)Cl,2.3
COc1ccc(O)cc1,9.94
C[N+](=O)[O-],9.14
O=C1CCC(=O)N1,9.9
CC(=O)NC(C)=O,11.87
O/N=C/c1cnns1,5.3
O/N=C\c1cnsn1,5.59
NNc1nncc(O)n1,11.32
Cc1cccc(C)c1O,10.73
CNCC(C)C(=O)O,4
CC1ONC(=O)C1N,4.09
CC1NCC(=O)N1O,7.8
CC1NCN(O)C1=O,7.85
NCCCP(=O)(O)O,1.79
NC/C=C\C(=O)O,4.35
NC/C=C/C(=O)O,4.35
C=C(Br)C(=O)O,2.32
CCNc1nnc(S)s1,6.92
Oc1cccc(Cl)c1,8.79
NCC1CC(=O)NO1,7.69
Cc1nccc(O)c1O,9.34
NC1=NC(=O)CN1,6.9
COc1cccc(O)c1,9.49
CCc1cccc(O)c1,10.11
Oc1ccc(Cl)cc1,8.96
Oc1ccc(Br)cc1,9.09
Cc1sc(NN)nc1O,6.57
NCCC(N)C(=O)O,2.55
CC(CN)CC(=O)O,4.62
Oc1cccc(O)c1O,8.94
NC(CCS)C(=O)O,2.46
Cc1c(O)noc1CN,7.02
NCC1NCC(O)C1O,13.35
O=C1CSC(=O)N1,6.36
O=C1C=CC(O)O1,9.91
CC1N=CC(O)C1O,12.93
O=P1(O)NCCCO1,3.09
O=C1C=C(O)CN1,8.48
CC1CC1CC(=O)O,4.77
NCC(O)CC(=O)O,4.1
CCc1ccc(O)cc1,10.32
CCCCCCCC(=O)O,5.19
Cc1cccc(C)c1S,6.9
CP(=O)(O)CCCN,1.99
NCCC[PH](=O)O,2.22
NCc1ccc(O)nc1,11.18
CC(C)=CC(=O)O,4.83
CC/C=C\C(=O)O,4.84
CC/C=C/C(=O)O,4.84
Nc1cc(O)ncc1F,11.25
Nc1ccnc(O)c1F,10.64
Sc1cccc(Cl)c1,5.45
COc1cccc(S)c1,6.16
COc1ccc(S)cc1,6.21
Sc1ccc(Br)cc1,5.49
Sc1ccc(Cl)cc1,5.46
CCCCP(O)(O)=S,3.38
O=C1CNC(=O)N1,8.68
Cc1ccnc(C)c1O,10.03
CCCCCNCC(=O)O,2.45
O=C(O)C1CSCN1,2.59
NCCOP(=O)(O)O,1.54
CC1CNCC(O)C1O,13.57
NC(=O)C(Br)Br,11.7
NC(=O)C(Cl)Cl,11.02
NC1CCN(O)C1=O,7.7
O=C(O)c1ccsc1,3.56
CC(CO)CC(=O)O,4.59
CC(O)CCC(=O)O,4.59
CCC(=O)C(=O)O,3.19
CC(CCO)C(=O)O,4.55
CNC(CS)C(=O)O,2.02
N#CSCCCC(=O)O,2.28
CCC(CC)C(=O)O,5.04
Oc1cccc(Br)c1,8.88
Cc1ccc(O)cc1C,10.47
NCc1ccc(O)cc1,9.73
OCc1ccc(O)cc1,9.48
NCCc1nnn[nH]1,4.61
NCCCCc1nonc1O,2.26
O=C1CSC(=S)N1,6.79
Cc1cc(F)ccc1O,9.61
Oc1ccc(F)cc1F,8.17
NCCS(=O)(=O)O,-1.49
CP(=O)(O)OCCN,1.71
O=C(O)c1cnsc1,3.41
O=C(O)c1cnsn1,3.02
O=C(O)c1csnn1,3.01
Oc1cc(F)ccc1F,7.46
Nc1ccc(O)cc1O,10.04
CS[S+](C)[O-],8.2
Nc1c(O)cccc1O,10.1
Cc1cc(O)ccc1O,9.91
OC(Cl)C(Cl)Cl,11.07
O=C(O)/C=C/CO,4.25
O=Cc1c[nH]nn1,7.56
NC(=S)NC(N)=S,11.46
C/C=N\NC(N)=S,11.78
O=C1NC(=S)CS1,6.9
CCSc1nnc(S)s1,6.49
NC(CO)C(=O)NO,8.76
CNC(CS)CC(C)C,9.11
CCC(CO)C(=O)O,4.51
O=C(O)C(=O)CF,2.48
CC(=O)NC(=N)N,11.52
O=C(O)CC1CNC1,4.26
O=C(O)CC1CCN1,3.73
Cc1cccc(O)c1O,9.59
Cc1c(S)ssc1=S,7.03
NCCc1nnc(O)o1,2.74
NCCc1nnc(S)o1,6.49
CNCc1nnc(S)o1,7.23
CNCc1nnc(O)o1,1.73
CCCC(C)C(=O)O,5.05
CC1=CC1C(=O)O,4.35
CNCP(=O)(O)CO,-0.87
O=C(O)c1cccs1,3.34
Fc1ccc(CS)cc1,9.93
Cc1ccc(CS)cc1,9.93
NCCCCCCC(=O)O,4.78
C=CCc1ccccc1O,9.33
Oc1cccc(F)c1O,8.45
O=C(O)C(=O)CO,2.57
CC(C)CCC(=O)O,5.09
CC(=O)CC(=O)O,4.02
Oc1c(F)cccc1F,7.56
O=C(O)c1ccco1,3.12
O=C(O)c1cscn1,3.18
C=C(CO)C(=O)O,4.13
CN=c1cccccc1S,7.01
Oc1ccc(Br)cn1,10.78
Oc1ccc(Cl)nn1,7.37
CSc1nnc(S)n1N,7.29
CSc1nncc(O)n1,11.24
Cc1ccc(N)cc1O,10.09
CC(C)CNC(=O)O,4.62
CNCC(N)C(=O)O,1.96
Cc1cccc(O)c1C,10.48
NNc1nnc(S)n1N,7.53
COCCCn1cnnc1S,7.67
Oc1ncc(I)cc1I,9.7
COC(=O)C(N)CS,9.96
Nc1cc(F)ccc1O,10.01
CCS(=O)(=O)NO,9.28
CNc1ccc(O)cc1,10.37
O=C(O)/C=C\CO,4.25
CCC(C)CC(=O)O,5.09
O=C1C=C(O)CC1,8.75
NC(=O)NC(N)=O,11.8
O=C(O)C1CCCC1,4.72
OCc1ccc(O)cn1,8.62
O=C1CNC(=S)N1,9.68
CSc1nsc(NN)n1,13.41
O=c1cc(O)c1=O,6.32
SCc1ccc(CS)s1,9.54
O=C(O)C1SCCS1,3.83
Oc1cc(Cl)ncn1,11.15
CC(=O)CC(N)=O,10.48
NC(CNO)C(=O)O,1.2
CCC(C)NC(=S)S,2.03
O=C(O)C1CCOC1,4.2
N=C1NC(=O)CS1,7.7
CCCOc1ccccc1O,9.96
Cc1c(CN)cnn1O,9.07
NCc1cn(O)nc1I,8.75
Cc1nn(O)cc1CN,9.3
NCc1cn(O)nc1N,9.79
Cc1c(O)cccc1O,9.69
Oc1cccc(O)c1F,8.27
CCCNC(=O)CC#N,9.19
N=C(NCCN)NCCS,9.78
N=C(NCCO)NCCS,9.78
O/N=C/c1cccs1,9.05
Cc1cc(O)ccc1N,10.51
Cc1cc(N)ccc1O,10.76
COC(=O)C(C)CS,10.09
CN(C)CC(CS)CS,9.94
CN(C)CC(S)CCS,9.88
Cc1cccc(O)c1N,10.47
CC(CC(C)C)=NO,11.61
CCCCCCCCCCCCS,10.2
CCCCOC(=O)CCS,10.11
CSC(C)(C)C=NO,9.71
O=c1cccn[nH]1,10.49
Cc1cccnc1CCCS,10.2
Oc1ccc(Br)nc1,8.23
Oc1ccc(Cl)nc1,8.28
O=C(O)C1NCCS1,2.41
O/N=C/c1ccns1,6.95
Cc1nnc(S)nc1S,6.85
CC(C)NC(=O)NO,10.09
CCCCCSC(=S)NN,8.27
CC(C)NC(=N)CS,8.58
OCc1cccc(O)c1,9.38
CNCP(=O)(O)CN,-2.26
OCCCCCNC(=S)S,2.04
Cn1[nH]nnc1=S,3.23
O/N=C/c1ccco1,7.52
O=C(O)C1CSSC1,3.98
CSCCC(N)C(=O)O,2.53
NCCc1ccc(O)cc1,10.41
CNCCc1cnc[nH]1,13.5
O=Cc1ccc(O)cc1,7.32
O=C(O)c1ccccc1,4.08
NCC1CCC1C(=O)O,4.37
O=C(O)c1cccnc1,2.79
CC[N+](=O)[O-],9.24
O=C(O)CCC(=O)O,3.55
O=C(O)C1CCCNC1,3.79
O=C(O)C1CCNCC1,4.33
O=C(O)C1=NCCC1,3.93
Cc1nonc1/C=N/O,5.35
O=C(O)c1cnccn1,3.62
Oc1onc2ccccc12,4
Cc1nsnc1/C=N\O,5.98
N=C(N)NCC(=O)O,3.37
C/C=C(C)/C=N/O,11.64
CSCCC(S)C(=O)O,4.48
CC(C)c1ccccc1O,10.5
Cc1occc(=O)c1O,9.45
O=C1C(CO)NCN1O,7.83
Cc1cccc(CO)c1O,10.29
CC(=O)NCC(=O)O,3.77
CCCc1ccc(O)cc1,10.31
CSCC[C@H](N)CS,9.51
CC(N)[PH](=O)O,0.25
Cc1cccc(O)c1CO,10.05
CC(N)P(=O)(O)O,-0.24
Oc1nncc2cncn12,9.73
Sc1nncc2cncn12,7.11
O=C(O)Cn1ccnc1,3.49
CNCCC(N)C(=O)O,2.63
Cn1cccc(O)c1=O,9.51
Oc1cccc(CCI)c1,10.09
OCCc1cccc(O)c1,10.06
O/N=C/C1=CCCC1,11.35
OCCc1ccc(O)cc1,10.2
Oc1ccc(CCI)cc1,10.27
Nc1n[nH]c(N)n1,13.63
N#Cc1cccc(O)c1,8.43
CN1CC(=O)NC1=N,10.45
Oc1noc2c1NCCC2,4.51
N#Cc1ccc(O)cc1,7.81
Cc1nc(O)c(C)s1,6.62
O=C(O)c1ccccn1,1
O=C(O)C1CCCCN1,2.06
CCCCN/C(N)=N/O,13.79
CCC(CN)CC(=O)O,4.7
Oc1onc2c1CNCC2,2.04
